iter	Passed	Remaining
637	192158	109030
638	192428	108711
639	192708	108398
640	193015	108100
641	193286	107782
642	193590	107483
643	193863	107166
644	194136	106850
645	194418	106538
646	194683	106218
647	194930	105888
648	195215	105578
649	195492	105265
650	195751	104942
651	196026	104627
652	196288	104306
653	196566	103993
654	196832	103674
655	197111	103363
656	197371	103041
657	197637	102723
658	197884	102395
659	198169	102087
660	198429	101766
661	198726	101464
662	198988	101145
663	199270	100835
664	199524	100512
665	199818	100209
666	200078	99889
667	200428	99614
668	200687	99293
669	200967	98983
670	201256	98678
671	201518	98360
672	201774	98038
673	202046	97725
674	202306	97406
675	202562	97086
676	202842	96777
677	203092	96453
678	203378	96148
679	203640	95830
680	203904	95514
681	204149	95189
682	204406	94870
683	204671	94556
684	204931	94238
685	205214	93931
686	205482	93618
687	205747	93304
688	205996	92982
689	206313	92691
690	206594	92384
691	206882	92080
692	207159	91771
693	207428	91459
694	207680	91140
695	207933	90821
696	208198	90508
697	208516	90217
698	208830	89925
699	209125	89625
700	209396	89314
701	209668	89004
702	209924	88688
703	210172	88367
704	210433	88053
705	210708	87745
706	210962	87428
707	211224	87115
708	211502	86808
709	211861	86534
710	212153	86233
711	212422	85923
712	212674	85606
713	212929	85291
714	213177	84972
715	213435	84658
716	213685	84341
717	213951	84031
718	214209	83717
719	214472	83406
720	214729	83092
721	214991	82780
722	215250	82468
723	215506	82154
724	215772	81844
725	216042	81536
726	216296	81222
727	216558	80912
728	216842	80609
729	217109	80300
730	217361	79986
731	217619	79674
732	217885	79366
733	218146	79055
734	218423	78751
735	218668	78435
736	218926	78124
737	219171	77808
738	219422	77495
739	219666	77180
740	219918	76867
741	220162	76552
742	220411	76239
743	220664	75927
744	220908	75613
745	221152	75298
746	221406	74987
747	221654	74675
748	221917	74367
749	222172	74057
750	222429	73748
751	222692	73441
752	222941	73129
753	223207	72823
754	223458	72513
755	223709	72202
756	223961	71892
757	224217	71584
758	224458	71270
759	224718	70963
760	224964	70652
761	225214	70342
762	225456	70030
763	225696	69717
764	225947	69408
765	226188	69096
766	226444	68789
767	226694	68480
768	226942	68171
769	227186	67860
770	227444	67554
771	227724	67255
772	227968	66945
773	228225	66639
774	228476	66331
775	228749	66030
776	228996	65722
777	229236	65412
778	229494	65107
779	229739	64798
780	229991	64491
781	230241	64185
782	230507	63882
783	230757	63576
784	231005	63268
785	231265	62965
786	231505	62656
787	231760	62351
788	232002	62043
789	232261	61740
790	232519	61436
791	232774	61132
792	233027	60828
793	233283	60524
794	233525	60217
795	233766	59910
796	234027	59608
797	234269	59301
798	234515	58995
799	234761	58690
800	235021	58388
801	235264	58082
802	235524	57781
803	235799	57483
804	236060	57182
805	236327	56882
806	236572	56578
807	236835	56277
808	237087	55974
809	237347	55674
810	237592	55369
811	237835	55065
812	238086	54762
813	238333	54459
814	238587	54157
815	238834	53854
816	239098	53555
817	239337	53251
818	239588	52949
819	239844	52648
820	240090	52346
821	240338	52044
822	240597	51744
823	240851	51443
824	241092	51140
825	241351	50841
